Time,Stockprice,Maxsell,Minsell,Maxbuy,Minbuy
0,10,10,10,10,10
1,10.018332061817466,10.018332061817466,10.018332061817466,10.018332061817466,10.018332061817466
2,10.180378951544409,10.180378951544409,10.180378951544409,10.180378951544409,10.180378951544409
3,10.47551032364246,10.47551032364246,10.47551032364246,10.47551032364246,10.47551032364246
4,10.39155201727375,10.39155201727375,10.39155201727375,10.39155201727375,10.39155201727375
5,10.32271084625988,10.32271084625988,10.32271084625988,10.32271084625988,10.32271084625988
6,10.30692283218975,10.30692283218975,10.30692283218975,10.30692283218975,10.30692283218975
7,10.306658026403408,10.306658026403408,10.306658026403408,10.306658026403408,10.306658026403408
8,10.425138742085188,10.425138742085188,10.425138742085188,10.425138742085188,10.425138742085188
9,10.688507835845085,10.688507835845085,10.688507835845085,10.688507835845085,10.688507835845085
10,10.788417753617392,10.788417753617392,10.788417753617392,10.788417753617392,10.788417753617392
11,11.110822268058719,11.110822268058719,11.110822268058719,11.110822268058719,11.110822268058719
12,11.184781337209598,11.184781337209598,11.184781337209598,11.184781337209598,11.184781337209598
13,11.287090890251907,11.287090890251907,11.287090890251907,11.287090890251907,11.287090890251907
14,11.32012147053574,11.32012147053574,11.32012147053574,11.32012147053574,11.32012147053574
15,11.464902622249793,11.464902622249793,11.464902622249793,11.464902622249793,11.464902622249793
16,11.530469522224722,11.530469522224722,11.530469522224722,11.530469522224722,11.530469522224722
17,11.561147924219583,11.561147924219583,11.561147924219583,11.561147924219583,11.561147924219583
18,11.539263122119701,11.539263122119701,11.539263122119701,11.539263122119701,11.539263122119701
19,11.741791535949194,11.741791535949194,11.741791535949194,11.741791535949194,11.741791535949194
20,11.679504028207488,11.679504028207488,11.679504028207488,11.679504028207488,11.679504028207488
21,11.49341699776771,11.49341699776771,11.49341699776771,11.49341699776771,11.49341699776771
22,11.556087203344758,11.556087203344758,11.556087203344758,11.556087203344758,11.556087203344758
23,11.493699894987632,11.493699894987632,11.493699894987632,11.493699894987632,11.493699894987632
24,11.619367854630475,11.619367854630475,11.619367854630475,11.619367854630475,11.619367854630475
25,11.72809596332868,11.72809596332868,11.72809596332868,11.72809596332868,11.72809596332868
26,11.944504819716652,11.944504819716652,11.944504819716652,11.944504819716652,11.944504819716652
27,12.101351501681206,12.101351501681206,12.101351501681206,12.101351501681206,12.101351501681206
28,12.160480332154357,12.160480332154357,12.160480332154357,12.160480332154357,12.160480332154357
29,12.116765659890767,12.116765659890767,12.116765659890767,12.116765659890767,12.116765659890767
30,12.041025539282877,12.041025539282877,12.041025539282877,12.041025539282877,12.041025539282877
31,12.054099569554168,12.054099569554168,12.054099569554168,12.054099569554168,12.054099569554168
32,12.166724363401887,12.166724363401887,12.166724363401887,12.166724363401887,12.166724363401887
33,12.110679468388026,12.110679468388026,12.110679468388026,12.110679468388026,12.110679468388026
34,11.775903091310262,11.775903091310262,11.775903091310262,11.775903091310262,11.775903091310262
